doc_id,company,sector,country,year,report_type,label,primary_sin,secondary_sin,enforcement,source_type,excerpt_summary
ESG-001,Delta,Aviation,USA,2023,ESG Report,confirmed,sin_hidden_tradeoff,ext_aspirational,"Delta faced a class action lawsuit challenging this claim, revealing that while they pledged billions for carbon offsett",real,"""Delta is the world's first carbon-neutral airline."""
ESG-002,P&G,Consumer Goods,USA,2018,ESG Report,confirmed,sin_fibbing,sin_hidden_tradeoff,"What is more, parent company P&G has consistently been named one of the top ten plastic polluters in Break Free From Pla",real,"""THE WORLD'S FIRST RECYCLABLE SHAMPOO BOTTLE MADE FROM BEACH PLASTIC"""
ESG-003,reynoldsconsumerproducts,Other,Unknown,2021,ESG Report,confirmed,sin_vagueness,,A class-action lawsuit revealed that the bags were not recyclable themselves and often contaminated the recycling stream,real,Promoted Hefty Recycling Bags as capable of handling any recyclable item.
ESG-004,Petronas,Other,Unknown,2023,ESG Report,confirmed,sin_hidden_tradeoff,sin_fibbing,The ASA criticized the ad for creating a misleading impression of Petronas's environmental contributions while their pri,real,"TV ad for Petronas in which it claimed to be a ""progressive energy and solutions partner, enriching lives for a sustainable future"""
ESG-005,ArlaFoods,Other,Unknown,2016,ESG Report,confirmed,sin_fibbing,,The ASA considered that consumers would interpret the claim “Good for the land … helping to support a more sustainable f,real,A local press ad for Arla organic farm milk seen on 30 November 2016 included text which stated “Good for the land” and smaller text underneath stating “helping support a more sustainable future.”
ESG-006,pepsi,Other,Unknown,2022,ESG Report,confirmed,sin_fibbing,,The ASA considered consumers would understand the claim “100% RECYCLED*” alongside images of the bottle with the label a,real,"A poster for Lipton Ice Tea seen on a bus shelter on 13 August 2021, featured headline text which stated “DELICIOUSLY REFRESHING, 100% RECYCLED*”. The asterisk linked to small text at the bottom of the poster that stated “Bottle made from recycled plastic, excludes cap and label”. The ad included pa"
ESG-007,Ethiad,Aviation,UAE,2023,ESG Report,suspected,sin_vagueness,,,real,"we’re taking a louder, bolder approach to sustainable aviation” in the body of the text and “… we’re cutting back on single-use plastics and are flying the most efficient planes. Flights with a smaller footprint … Environmental airline of the year"
ESG-008,Adidas,Consumer Goods,Germany,2021,ESG Report,suspected,sin_fibbing,,,real,"Stan Smith Forever. 100% iconic, 50% recycled"
ESG-009,jbs,Other,Unknown,2021,ESG Report,suspected,sin_fibbing,ext_aspirational,,real,"JBS claimed in a 2021 Earth Day ad: “Bacon, chicken wings and steak with net zero Emissions. It’s Possible.”"
ESG-010,uniqlo,Other,Unknown,2023,ESG Report,suspected,sin_hidden_tradeoff,,,real,"A NEW LIFE FOR UNIQLO CLOTHING. “RE.UNIQLO” is a framework that helps maximize the utility of the clothing we make, contributing to a circular society. “REDUCE” used clothing disposal by extending the lifespan of each garment. “REUSE” clothing with new purposes. “RECYCLE” clothing into new products "
ESG-011,mcdonalds,Other,Unknown,2020,ESG Report,suspected,sin_hidden_tradeoff,,,real,"mcdonand's claims a""8.5% reduction in the absolute emissions of our restaurants and offices from the 2015 baseline toward our 2030 goal of a 36% reduction."""
ESG-012,Starbucks,Other,Unknown,2022,ESG Report,suspected,sin_vagueness,,,real,"""Recyclable, strawless lids for customers across the U.S. and Canada is another step in our journey to reduce our environmental footprint"""
ESG-013,Zara,Fashion/Retail,Spain,2022,ESG Report,confirmed,sin_no_proof,ext_aspirational,"For example, in our latest review of Zara, we found no evidence the brand minimises textile waste when manufacturing its",real,"[We have] 100% energy-efficient stores. The daily operation of our stores is adapted to reduce our environmental impact with systems that allow us to adjust water and energy consumption to the real needs of the store. In addition, the new building and renovation standards of our stores, based on our"
ESG-014,drbronner,Other,Unknown,2022,ESG Report,clean,,,,real,HEAL EARTH WITH DR. BRONNER'S #EARTHHEALER
ESG-015,Boohoo,Fashion/Retail,UK,2023,ESG Report,suspected,sin_vagueness,,,real,Launched a sustainable fashion campaign with Kourtney Kardashian as the face.
ESG-016,hsbc,Other,Unknown,2021,ESG Report,suspected,sin_fibbing,sin_hidden_tradeoff,,real,"The poster featured an aerial image of waves crashing on a shore with text that stated ""Climate change doesn’t do borders. Neither do rising sea levels. That’s why HSBC is aiming to provide up to $1 trillion in financing and investment globally to help our clients transition to net zero”."
ESG-017,hyundai,Other,Unknown,2021,ESG Report,confirmed,sin_fibbing,,"The ASA considered that the claim “A car so beautifully clean, it purifies the air as it goes” would be understood to me",real,"A website for Hyundai, included text which stated “All-New NEXO” and “Introducing the next generation of fuel cell vehicles: All-New NEXO. A car so beautifully clean, it purifies the air as it goes”."
ESG-018,KPN,Telecommunications,Netherlands,2023,ESG Report,clean,,,,real,"KPN strives to connect everybody and everything in a sustainable way. We’re contributing to a prosperous and clean world by continually reducing our impact on the environment. We do this by working more energy efficiently. Since 2011, we’ve been using 100% green electricity and we’ve been completely"
ESG-019,thrivemarket,Other,Unknown,2022,ESG Report,clean,,,,real,Our Thrive Market boxes are now made of 100% recycled materials.
ESG-020,Tesco,Other,Unknown,2021,ESG Report,suspected,sin_hidden_tradeoff,sin_fibbing,,real,"The TV ad featured a woman about to eat a burger while watching television. The programme she was watching said, “The planet is continuing to warm” after which the voice-over said, “Now that’s not what Zoe likes to hear, but she’s gonna roll up her sleeves and do her bit […] and there it is, a delic"
ESG-021,kleankanteen,Other,Unknown,2019,ESG Report,clean,,,,real,We deliver solutions that inspire healthy choices and create benefit for people and the places we live and play. Your purchase from independently-owned company allows us to donate to organizations making the world a better place.
ESG-022,allbirds,Other,Unknown,2023,ESG Report,clean,,,,real,"Where possible, we replace synthetic petroleum-based materials with natural alternatives. Such as wool, tree fibers and sugar cane. They're soft, breathable and better for the planet - win, win, win."
ESG-023,interface,Other,Unknown,2022,ESG Report,clean,,,,real,"Carbon negative carpet tile changed everything for us. We now know it’s possible to store more carbon than we emit. We want to challenge ourselves and others to become carbon negative, enterprise wide, without offsets. This is an important step on our journey to reverse global warming."
ESG-024,Windex,Other,Unknown,2021,ESG Report,suspected,sin_vagueness,,,real,"Claimed their bottles were made from 100% recycled ocean plastic. In an image showing a  plastic spray bottle of Windex cleaner in front of a pile of colorful plastic bottles. The pile of plastic bottles is submerged in water, suggesting it is ocean plastic."
ESG-025,Equinor,Energy,Norway,2022,ESG Report,suspected,sin_vagueness,sin_fibbing,,real,"A national press ad for energy company Equinor, seen in June 2023, stated “Wind, oil, gas, carbon capture […]” and “IT’S ALL PART OF THE BROADER ENERGY PICTURE”. A footnote at the bottom of the ad stated “Equinor has been delivering energy solutions to the UK for 40 years, and we are now working to "
ESG-026,Etihad,Aviation,UAE,2023,ESG Report,confirmed,sin_vagueness,ext_selective,"The ASA criticized Etihad for making broad claims without sufficient evidence, particularly omitting their long-term sus",real,"we’re taking a louder, bolder approach to sustainable aviation” in the body of the text, and “… you’ll earn Etihad Guest Miles every time you make a conscious choice for the planet … Environmental airline of the year"
ESG-027,chopvalue,Other,Unknown,2023,ESG Report,clean,,,,real,"Designed with Impact in Mind: We transform waste streams into nature positive products, engineered for a second life."
ESG-028,Shell,Energy,Netherlands,2023,ESG Report,confirmed,sin_vagueness,,"Shell's significant CO2 emissions and reliance on fossil fuels undermined their green marketing, leading to criticism an",real,"""1.4 million households in the UK use 100% renewable energy from Shell, that its experts were working on a wind project that could power six million homes and that it is fitting 50,000 electric vehicle chargers nationwide by 2025. ""The UK is READY for cleaner energy"" and the hashtag “#PoweringProgre"
ESG-029,Innocent,Consumer Goods,UK,2021,ESG Report,confirmed,sin_vagueness,,"Plastics Rebellion pointed out that Innocent was owned by Coca-Cola, which has frequently been accused of creating pollu",real,"The TV ad tells the story of a man and and his aquatic sidekick, Otter, as their boat is hijacked by revellers celebrating and making a mess as they approach a large waterfall. They sing about “messing up the planet” until they find themselves in peril, hanging off the edge of a cliff. They then row"
ESG-030,Lufthansa,Aviation,Germany,2023,ESG Report,confirmed,sin_fibbing,sin_hidden_tradeoff,The ASA found the ads misleading because Lufthansa did not provide concrete evidence of significant environmental effort,real,"""Connecting the world, protecting its future"""
ESG-031,Asos,Fashion/Retail,UK,2022,ESG Report,suspected,sin_no_proof,,,real,"Style meets sustainability in our innovative new ASOS line, which is all about future-proofing fashion. So, not only are these pieces as eco-friendly as possible, they’re also 100% on-point. Think fresh cuts in the season’s key colours, with some throwback ’90s vibes added in for good measure. The k"
ESG-032,Keurig,Consumer Goods,Canada,2022,ESG Report,confirmed,sin_fibbing,,"The Competition Bureau in Canada found these claims misleading as most recycling centers did not accept the pods, result",real,Claims their single-use plastic coffee pods are easily recyclable.
ESG-033,AirFrance,Aviation,France,2023,ESG Report,suspected,sin_vagueness,,,real,"claims it enables people to ""travel better and sustainably"""
ESG-034,Unilever,Consumer Goods,UK,2022,ESG Report,confirmed,sin_vagueness,sin_fibbing,"The ASA deemed the claims unclear and unsubstantiated, noting that the ads did not explain how Persil was environmentall",real,"Advertised Persil, a laundry, detergent, as being ""tough on stains, kinder on the planet"" in their 'Dirt is Good' TV ads."
ESG-035,evian,Other,Unknown,2023,ESG Report,suspected,sin_vagueness,,,real,"“ 100% recycled bottle"" accompanied by an asterisk after the claim, leading to text in smaller print on the back of the bottle, specifying “This bottle is made from 100% recycled plastic, so the colour of the bottle may vary. Caps and label don’t yet contain recycled plastic. 100% recyclable. Please"
